city_code,name,presentation_title,presentation_body,economy_title,revenu_title,revenu_value,chomage_title,chomage_value,fibre_title,fibre_value,entreprises_title,entreprises_value
ville-du-pont-25620,Ville-du-Pont 25650 Doubs,Présentation de Ville-du-Pont,Ville-du-Pont est un village situé dans le département du Doubs en région Bourgogne-Franche-Comté. La population est de 329 habitants. Les habitants de Ville-du-Pont sont appelés les saugets. Ville-du-Pont appartient à la communauté de communes de Montbenoît. Le code postal de Ville-du-Pont est 25650.,ville-du-pont-25620,Économie,Revenu médian,26 430 €,Taux de chômage,"5,7 %",couverture en très haut débit (fibre),100 %,Taux de création d'entreprises,"11,8 %"
villers-grelot-25624,Villers-Grélot 25640 Doubs,Présentation de Villers-Grélot,Villers-Grélot est un village situé dans le département du Doubs en région Bourgogne-Franche-Comté. La population est de 144 habitants. Villers-Grélot appartient à la communauté de communes du Doubs Baumois. Le code postal de Villers-Grélot est 25640.,villers-grelot-25624,Économie,Revenu médian,21 950 €,Taux de chômage,"3,03 %",couverture en très haut débit (fibre),"99,02 %",Taux de création d'entreprises,-
villars-les-blamont-25615,Villars-lès-Blamont 25310 Doubs,Présentation de Villars-lès-Blamont,Villars-lès-Blamont est un village situé dans le département du Doubs en région Bourgogne-Franche-Comté. La population est de 458 habitants. Villars-lès-Blamont appartient à la communauté d'agglomération Pays de Montbéliard Agglomération. Le code postal de Villars-lès-Blamont est 25310.,villars-les-blamont-25615,Économie,Revenu médian,24 110 €,Taux de chômage,"9,86 %",couverture en très haut débit (fibre),"95,22 %",Taux de création d'entreprises,"11,1 %"
les-villedieu-25619,Les Villedieu 25240 Doubs,Présentation de Les Villedieu,Les Villedieu est un village situé dans le département du Doubs en région Bourgogne-Franche-Comté. La population est de 210 habitants. Les Villedieu appartient à la communauté de communes des Lacs et Montagnes du Haut-Doubs. Le code postal de Les Villedieu est 25240.,les-villedieu-25619,Économie,Revenu médian,30 980 €,Taux de chômage,"10,4 %",couverture en très haut débit (fibre),"91,45 %",Taux de création d'entreprises,-
villers-buzon-25622,Villers-Buzon 25170 Doubs,Présentation de Villers-Buzon,Villers-Buzon est un village situé dans le département du Doubs en région Bourgogne-Franche-Comté. La population est de 277 habitants. Les habitants de Villers-Buzon sont appelés les villers-buzonnais et les villers-buzonnaises. Villers-Buzon appartient à la communauté de communes du Val Marnaysien. Le code postal de Villers-Buzon est 25170.,villers-buzon-25622,Économie,Revenu médian,25 470 €,Taux de chômage,"4,88 %",couverture en très haut débit (fibre),"98,84 %",Taux de création d'entreprises,"42,9 %"
villers-la-combe-25625,Villers-la-Combe 25510 Doubs,Présentation de Villers-la-Combe,Villers-la-Combe est un village situé dans le département du Doubs en région Bourgogne-Franche-Comté. La population est de 50 habitants. Villers-la-Combe appartient à la communauté de communes des Portes du Haut-Doubs. Le code postal de Villers-la-Combe est 25510.,villers-la-combe-25625,Économie,Revenu médian,-,Taux de chômage,"7,4 %",couverture en très haut débit (fibre),100 %,Taux de création d'entreprises,-
villers-sous-chalamont-25627,Villers-sous-Chalamont 25270 Doubs,Présentation de Villers-sous-Chalamont,Villers-sous-Chalamont est un village situé dans le département du Doubs en région Bourgogne-Franche-Comté. La population est de 296 habitants. Villers-sous-Chalamont appartient à la communauté de communes Altitude 800. Le code postal de Villers-sous-Chalamont est 25270.,villers-sous-chalamont-25627,Économie,Revenu médian,21 760 €,Taux de chômage,"4,48 %",couverture en très haut débit (fibre),"96,67 %",Taux de création d'entreprises,"33,3 %"
voujeaucourt-25632,Voujeaucourt 25420 Doubs,Présentation de Voujeaucourt,Voujeaucourt est une petite ville située dans le département du Doubs en région Bourgogne-Franche-Comté. La population est de 3 130 habitants. Les habitants de Voujeaucourt sont appelés les vodjacois et les vodjacoises. Voujeaucourt appartient à la communauté d'agglomération Pays de Montbéliard Agglomération. Le code postal de Voujeaucourt est 25420.,voujeaucourt-25632,Économie,Revenu médian,23 440 €,Taux de chômage,"9,41 %",couverture en très haut débit (fibre),"87,83 %",Taux de création d'entreprises,"14,6 %"
bouconville-vauclair-02102,Bouconville-Vauclair 02860 Aisne,Présentation de Bouconville-Vauclair,Bouconville-Vauclair est un village situé dans le département de l'Aisne en région Hauts-de-France. La population est de 186 habitants. Les habitants de Bouconville-Vauclair sont appelés les bouconvillois et les bouconvilloises. Bouconville-Vauclair appartient à la communauté de communes du Chemin des Dames. Le code postal de Bouconville-Vauclair est 02860.,bouconville-vauclair-02102,Économie,Revenu médian,21 620 €,Taux de chômage,"9,18 %",couverture en très haut débit (fibre),"98,06 %",Taux de création d'entreprises,-
bouresches-02105,Bouresches 02400 Aisne,Présentation de Bouresches,Bouresches est un village situé dans le département de l'Aisne en région Hauts-de-France. La population est de 190 habitants. Bouresches appartient à la communauté d'agglomération de la Région de Château-Thierry. Le code postal de Bouresches est 02400.,bouresches-02105,Économie,Revenu médian,23 360 €,Taux de chômage,"11,3 %",couverture en très haut débit (fibre),"99,06 %",Taux de création d'entreprises,25 %
brissy-hamegicourt-02124,Brissy-Hamégicourt 02240 Aisne,Présentation de Brissy-Hamégicourt,Brissy-Hamégicourt est un village situé dans le département de l'Aisne en région Hauts-de-France. La population est de 653 habitants. Brissy-Hamégicourt appartient à la communauté de communes du Val de l'Oise. Le code postal de Brissy-Hamégicourt est 02240.,brissy-hamegicourt-02124,Économie,Revenu médian,20 860 €,Taux de chômage,"9,09 %",couverture en très haut débit (fibre),100 %,Taux de création d'entreprises,"29,4 %"
brumetz-02125,Brumetz 02810 Aisne,Présentation de Brumetz,Brumetz est un village situé dans le département de l'Aisne en région Hauts-de-France. La population est de 181 habitants. Les habitants de Brumetz sont appelés les brumetziens et les brumetziennes. Brumetz appartient à la communauté d'agglomération de la Région de Château-Thierry. Le code postal de Brumetz est 02810.,brumetz-02125,Économie,Revenu médian,22 480 €,Taux de chômage,"3,85 %",couverture en très haut débit (fibre),100 %,Taux de création d'entreprises,"11,1 %"
brunehamel-02126,Brunehamel 02360 Aisne,Présentation de Brunehamel,Brunehamel est un village situé dans le département de l'Aisne en région Hauts-de-France. La population est de 453 habitants. Les habitants de Brunehamel sont appelés les brunehamelois et les brunehameloises. Brunehamel appartient à la communauté de communes des Portes de la Thiérache. Le code postal de Brunehamel est 02360.,brunehamel-02126,Économie,Revenu médian,16 650 €,Taux de chômage,"10,65 %",couverture en très haut débit (fibre),100 %,Taux de création d'entreprises,"3,2 %"
bucy-le-long-02131,Bucy-le-Long 02880 Aisne,Présentation de Bucy-le-Long,Bucy-le-Long est une petite ville située dans le département de l'Aisne en région Hauts-de-France. La population est de 1 882 habitants. Les habitants de Bucy-le-Long sont appelés les bucyquois et les bucyquoises. Bucy-le-Long appartient à la communauté de communes du Val de l'Aisne. Le code postal de Bucy-le-Long est 02880.,bucy-le-long-02131,Économie,Revenu médian,22 870 €,Taux de chômage,"9,66 %",couverture en très haut débit (fibre),100 %,Taux de création d'entreprises,"11,5 %"
caillouel-crepigny-02139,Caillouël-Crépigny 02300 Aisne,Présentation de Caillouël-Crépigny,Caillouël-Crépigny est un village situé dans le département de l'Aisne en région Hauts-de-France. La population est de 453 habitants. Caillouël-Crépigny appartient à la communauté d'agglomération Chauny-Tergnier-La Fère. Le code postal de Caillouël-Crépigny est 02300.,caillouel-crepigny-02139,Économie,Revenu médian,22 860 €,Taux de chômage,"9,47 %",couverture en très haut débit (fibre),100 %,Taux de création d'entreprises,40 %
camelin-02140,Camelin 02300 Aisne,Présentation de Camelin,Camelin est un village situé dans le département de l'Aisne en région Hauts-de-France. La population est de 447 habitants. Les habitants de Camelin sont appelés les camelinois et les camelinoises. Camelin appartient à la communauté de communes Picardie des Châteaux. Le code postal de Camelin est 02300.,camelin-02140,Économie,Revenu médian,20 120 €,Taux de chômage,"9,45 %",couverture en très haut débit (fibre),100 %,Taux de création d'entreprises,"17,6 %"
cerny-en-laonnois-02150,Cerny-en-Laonnois 02860 Aisne,Présentation de Cerny-en-Laonnois,Cerny-en-Laonnois est un village situé dans le département de l'Aisne en région Hauts-de-France. La population est de 62 habitants. Cerny-en-Laonnois appartient à la communauté d'agglomération du Pays de Laon. Le code postal de Cerny-en-Laonnois est 02860.,cerny-en-laonnois-02150,Économie,Revenu médian,-,Taux de chômage,"7,89 %",couverture en très haut débit (fibre),"97,56 %",Taux de création d'entreprises,-
chambry-02157,Chambry 02000 Aisne,Présentation de Chambry,Chambry est un village situé dans le département de l'Aisne en région Hauts-de-France. La population est de 832 habitants. Les habitants de Chambry sont appelés les chambrysiens et les chambrysiennes. Chambry appartient à la communauté d'agglomération du Pays de Laon. Le code postal de Chambry est 02000.,chambry-02157,Économie,Revenu médian,22 270 €,Taux de chômage,"11,23 %",couverture en très haut débit (fibre),"85,93 %",Taux de création d'entreprises,-
chaourse-02160,Chaourse 02340 Aisne,Présentation de Chaourse,Chaourse est un village situé dans le département de l'Aisne en région Hauts-de-France. La population est de 512 habitants. Les habitants de Chaourse sont appelés les chaoursiens et les chaoursiennes. Chaourse appartient à la communauté de communes des Portes de la Thiérache. Le code postal de Chaourse est 02340.,chaourse-02160,Économie,Revenu médian,19 220 €,Taux de chômage,"11,85 %",couverture en très haut débit (fibre),100 %,Taux de création d'entreprises,"12,5 %"
charmes-02165,Charmes 02800 Aisne,Présentation de Charmes,Charmes est une petite ville située dans le département de l'Aisne en région Hauts-de-France. La population est de 1 624 habitants. Charmes appartient à la communauté d'agglomération Chauny-Tergnier-La Fère. Le code postal de Charmes est 02800.,charmes-02165,Économie,Revenu médian,20 240 €,Taux de chômage,"9,79 %",couverture en très haut débit (fibre),100 %,Taux de création d'entreprises,"8,6 %"
chaudun-02172,Chaudun 02200 Aisne,Présentation de Chaudun,Chaudun est un village situé dans le département de l'Aisne en région Hauts-de-France. La population est de 251 habitants. Les habitants de Chaudun sont appelés les chaudunois et les chaudunoises. Chaudun appartient à la communauté de communes du Canton d'Oulchy-le-Château. Le code postal de Chaudun est 02200.,chaudun-02172,Économie,Revenu médian,21 850 €,Taux de chômage,"9,94 %",couverture en très haut débit (fibre),100 %,Taux de création d'entreprises,"12,5 %"
chauny-02173,Chauny 02300 Aisne,Présentation de Chauny,Chauny est une ville située dans le département de l'Aisne en région Hauts-de-France. La population est de 11 496 habitants. Les habitants de Chauny sont appelés les chaunois et les chaunoises. Chauny appartient à la communauté d'agglomération Chauny-Tergnier-La Fère. Le code postal de Chauny est 02300.,chauny-02173,Économie,Revenu médian,18 210 €,Taux de chômage,"16,23 %",couverture en très haut débit (fibre),"98,4 %",Taux de création d'entreprises,14 %
chezy-en-orxois-02185,Chézy-en-Orxois 02810 Aisne,Présentation de Chézy-en-Orxois,Chézy-en-Orxois est un village situé dans le département de l'Aisne en région Hauts-de-France. La population est de 380 habitants. Les habitants de Chézy-en-Orxois sont appelés les cahusas. Chézy-en-Orxois appartient à la communauté d'agglomération de la Région de Château-Thierry. Le code postal de Chézy-en-Orxois est 02810.,chezy-en-orxois-02185,Économie,Revenu médian,22 810 €,Taux de chômage,"7,29 %",couverture en très haut débit (fibre),100 %,Taux de création d'entreprises,"28,6 %"
chivy-les-etouvelles-02191,Chivy-lès-Étouvelles 02000 Aisne,Présentation de Chivy-lès-Étouvelles,Chivy-lès-Étouvelles est un village situé dans le département de l'Aisne en région Hauts-de-France. La population est de 500 habitants. Les habitants de Chivy-lès-Étouvelles sont appelés les chiviacussiens et les chiviacussiennes. Chivy-lès-Étouvelles appartient à la communauté d'agglomération du Pays de Laon. Le code postal de Chivy-lès-Étouvelles est 02000.,chivy-les-etouvelles-02191,Économie,Revenu médian,22 410 €,Taux de chômage,"7,66 %",couverture en très haut débit (fibre),"92,31 %",Taux de création d'entreprises,"13,3 %"
ciry-salsogne-02195,Ciry-Salsogne 02220 Aisne,Présentation de Ciry-Salsogne,Ciry-Salsogne est un village situé dans le département de l'Aisne en région Hauts-de-France. La population est de 896 habitants. Ciry-Salsogne appartient à la communauté de communes du Val de l'Aisne. Le code postal de Ciry-Salsogne est 02220.,ciry-salsogne-02195,Économie,Revenu médian,23 340 €,Taux de chômage,"7,29 %",couverture en très haut débit (fibre),100 %,Taux de création d'entreprises,"15,6 %"
clastres-02199,Clastres 02440 Aisne,Présentation de Clastres,Clastres est un village situé dans le département de l'Aisne en région Hauts-de-France. La population est de 593 habitants. Les habitants de Clastres sont appelés les clastrois et les clastroises. Clastres appartient à la communauté d'agglomération du Saint-Quentinois. Le code postal de Clastres est 02440.,clastres-02199,Économie,Revenu médian,21 370 €,Taux de chômage,"6,49 %",couverture en très haut débit (fibre),100 %,Taux de création d'entreprises,"21,4 %"
montchalons-02501,Montchâlons 02860 Aisne,Présentation de Montchâlons,Montchâlons est un village situé dans le département de l'Aisne en région Hauts-de-France. La population est de 85 habitants. Montchâlons appartient à la communauté d'agglomération du Pays de Laon. Le code postal de Montchâlons est 02860.,montchalons-02501,Économie,Revenu médian,-,Taux de chômage,"6,12 %",couverture en très haut débit (fibre),"81,17 %",Taux de création d'entreprises,"33,3 %"
monthenault-02508,Monthenault 02860 Aisne,Présentation de Monthenault,Monthenault est un village situé dans le département de l'Aisne en région Hauts-de-France. La population est de 151 habitants. Monthenault appartient à la communauté d'agglomération du Pays de Laon. Le code postal de Monthenault est 02860.,monthenault-02508,Économie,Revenu médian,23 140 €,Taux de chômage,"3,53 %",couverture en très haut débit (fibre),"61,54 %",Taux de création d'entreprises,"16,7 %"
montigny-l-allier-02512,Montigny-l'Allier 02810 Aisne,Présentation de Montigny-l'Allier,Montigny-l'Allier est un village situé dans le département de l'Aisne en région Hauts-de-France. La population est de 268 habitants. Montigny-l'Allier appartient à la communauté d'agglomération de la Région de Château-Thierry. Le code postal de Montigny-l'Allier est 02810.,montigny-l-allier-02512,Économie,Revenu médian,22 610 €,Taux de chômage,"12,69 %",couverture en très haut débit (fibre),100 %,Taux de création d'entreprises,"44,4 %"
montigny-lengrain-02514,Montigny-Lengrain 02290 Aisne,Présentation de Montigny-Lengrain,Montigny-Lengrain est un village situé dans le département de l'Aisne en région Hauts-de-France. La population est de 695 habitants. Les habitants de Montigny-Lengrain sont appelés les ignymontains et les ignymontaines. Montigny-Lengrain appartient à la communauté de communes Retz-en-Valois. Le code postal de Montigny-Lengrain est 02290.,montigny-lengrain-02514,Économie,Revenu médian,21 560 €,Taux de chômage,"10,56 %",couverture en très haut débit (fibre),"99,47 %",Taux de création d'entreprises,"12,9 %"
mont-notre-dame-02520,Mont-Notre-Dame 02220 Aisne,Présentation de Mont-Notre-Dame,Mont-Notre-Dame est un village situé dans le département de l'Aisne en région Hauts-de-France. La population est de 733 habitants. Les habitants de Mont-Notre-Dame sont appelés les mont-nostradamiens et les mont-nostradamiennes. Mont-Notre-Dame appartient à la communauté de communes du Val de l'Aisne. Le code postal de Mont-Notre-Dame est 02220.,mont-notre-dame-02520,Économie,Revenu médian,21 860 €,Taux de chômage,"10,24 %",couverture en très haut débit (fibre),"99,46 %",Taux de création d'entreprises,"34,8 %"
mont-saint-jean-02522,Mont-Saint-Jean 02360 Aisne,Présentation de Mont-Saint-Jean,Mont-Saint-Jean est un village situé dans le département de l'Aisne en région Hauts-de-France. La population est de 83 habitants. Mont-Saint-Jean appartient à la communauté de communes des Trois Rivières. Le code postal de Mont-Saint-Jean est 02360.,mont-saint-jean-02522,Économie,Revenu médian,-,Taux de chômage,"13,95 %",couverture en très haut débit (fibre),100 %,Taux de création d'entreprises,100 %
muret-et-crouttes-02533,Muret-et-Crouttes 02210 Aisne,Présentation de Muret-et-Crouttes,Muret-et-Crouttes est un village situé dans le département de l'Aisne en région Hauts-de-France. La population est de 106 habitants. Les habitants de Muret-et-Crouttes sont appelés les muretains et les muretaines. Muret-et-Crouttes appartient à la communauté de communes du Canton d'Oulchy-le-Château. Le code postal de Muret-et-Crouttes est 02210.,muret-et-crouttes-02533,Économie,Revenu médian,23 840 €,Taux de chômage,4 %,couverture en très haut débit (fibre),"96,1 %",Taux de création d'entreprises,50 %
nesles-la-montagne-02540,Nesles-la-Montagne 02400 Aisne,Présentation de Nesles-la-Montagne,Nesles-la-Montagne est une petite ville située dans le département de l'Aisne en région Hauts-de-France. La population est de 1 206 habitants. Les habitants de Nesles-la-Montagne sont appelés les neslois et les nesloises. Nesles-la-Montagne appartient à la communauté d'agglomération de la Région de Château-Thierry. Le code postal de Nesles-la-Montagne est 02400.,nesles-la-montagne-02540,Économie,Revenu médian,23 350 €,Taux de chômage,"7,93 %",couverture en très haut débit (fibre),100 %,Taux de création d'entreprises,"15,2 %"
neufchatel-sur-aisne-02541,Neufchâtel-sur-Aisne 02190 Aisne,Présentation de Neufchâtel-sur-Aisne,Neufchâtel-sur-Aisne est un village situé dans le département de l'Aisne en région Hauts-de-France. La population est de 421 habitants. Les habitants de Neufchâtel-sur-Aisne sont appelés les neufchâtelois et les neufchâteloises. Neufchâtel-sur-Aisne appartient à la communauté de communes de la Champagne Picarde. Le code postal de Neufchâtel-sur-Aisne est 02190.,neufchatel-sur-aisne-02541,Économie,Revenu médian,22 580 €,Taux de chômage,"7,41 %",couverture en très haut débit (fibre),"99,29 %",Taux de création d'entreprises,"16,7 %"
le-nouvion-en-thierache-02558,Le Nouvion-en-Thiérache 02170 Aisne,Présentation de Le Nouvion-en-Thiérache,Le Nouvion-en-Thiérache est une petite ville située dans le département de l'Aisne en région Hauts-de-France. La population est de 2 505 habitants. Les habitants de Le Nouvion-en-Thiérache sont appelés les nouvionnais et les nouvionnaises. Le Nouvion-en-Thiérache appartient à la communauté de communes de la Thiérache du Centre. Le code postal de Le Nouvion-en-Thiérache est 02170.,le-nouvion-en-thierache-02558,Économie,Revenu médian,18 770 €,Taux de chômage,"12,2 %",couverture en très haut débit (fibre),"98,84 %",Taux de création d'entreprises,"10,4 %"
ognes-02566,Ognes 02300 Aisne,Présentation d'Ognes,Ognes est une petite ville située dans le département de l'Aisne en région Hauts-de-France. La population est de 1 108 habitants. Les habitants d'Ognes sont appelés les ognois et les ognoises. Ognes appartient à la communauté d'agglomération Chauny-Tergnier-La Fère. Le code postal d'Ognes est 02300.,ognes-02566,Économie,Revenu médian,22 650 €,Taux de chômage,"8,72 %",couverture en très haut débit (fibre),100 %,Taux de création d'entreprises,"6,1 %"
orainville-02572,Orainville 02190 Aisne,Présentation d'Orainville,Orainville est un village situé dans le département de l'Aisne en région Hauts-de-France. La population est de 501 habitants. Les habitants d'Orainville sont appelés les orainvillois et les orainvilloises. Orainville appartient à la communauté de communes de la Champagne Picarde. Le code postal d'Orainville est 02190.,orainville-02572,Économie,Revenu médian,24 760 €,Taux de chômage,"4,29 %",couverture en très haut débit (fibre),100 %,Taux de création d'entreprises,-
osly-courtil-02576,Osly-Courtil 02290 Aisne,Présentation d'Osly-Courtil,Osly-Courtil est un village situé dans le département de l'Aisne en région Hauts-de-France. La population est de 325 habitants. Osly-Courtil appartient à la communauté d'agglomération GrandSoissons Agglomération. Le code postal d'Osly-Courtil est 02290.,osly-courtil-02576,Économie,Revenu médian,23 410 €,Taux de chômage,"7,93 %",couverture en très haut débit (fibre),100 %,Taux de création d'entreprises,-
pancy-courtecon-02583,Pancy-Courtecon 02860 Aisne,Présentation de Pancy-Courtecon,Pancy-Courtecon est un village situé dans le département de l'Aisne en région Hauts-de-France. La population est de 53 habitants. Les habitants de Pancy-Courtecon sont appelés les pancyacois et les pancyacoises. Pancy-Courtecon appartient à la communauté de communes du Chemin des Dames. Le code postal de Pancy-Courtecon est 02860.,pancy-courtecon-02583,Économie,Revenu médian,-,Taux de chômage,"3,03 %",couverture en très haut débit (fibre),100 %,Taux de création d'entreprises,-
